Categoria: Todas as categorias

Semana,influenza: (Viena)
2016-01-03,14
2016-01-10,23
2016-01-17,15
2016-01-24,36
2016-01-31,55
2016-02-07,50
2016-02-14,49
2016-02-21,60
2016-02-28,40
2016-03-06,56
2016-03-13,26
2016-03-20,14
2016-03-27,17
2016-04-03,13
2016-04-10,5
2016-04-17,19
2016-04-24,16
2016-05-01,0
2016-05-08,5
2016-05-15,11
2016-05-22,6
2016-05-29,0
2016-06-05,5
2016-06-12,10
2016-06-19,11
2016-06-26,8
2016-07-03,6
2016-07-10,0
2016-07-17,7
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,13
2016-09-04,6
2016-09-11,12
2016-09-18,15
2016-09-25,12
2016-10-02,17
2016-10-09,9
2016-10-16,11
2016-10-23,30
2016-10-30,18
2016-11-06,16
2016-11-13,14
2016-11-20,11
2016-11-27,19
2016-12-04,11
2016-12-11,19
2016-12-18,46
2016-12-25,100
