Categoria: Todas as categorias

Semana,influenza: (Viena)
2013-01-06,19
2013-01-13,96
2013-01-20,71
2013-01-27,90
2013-02-03,80
2013-02-10,87
2013-02-17,100
2013-02-24,62
2013-03-03,62
2013-03-10,37
2013-03-17,58
2013-03-24,30
2013-03-31,10
2013-04-07,19
2013-04-14,35
2013-04-21,20
2013-04-28,25
2013-05-05,10
2013-05-12,15
2013-05-19,20
2013-05-26,10
2013-06-02,0
2013-06-09,10
2013-06-16,21
2013-06-23,10
2013-06-30,0
2013-07-07,0
2013-07-14,0
2013-07-21,0
2013-07-28,0
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,0
2013-09-15,0
2013-09-22,0
2013-09-29,0
2013-10-06,0
2013-10-13,0
2013-10-20,0
2013-10-27,0
2013-11-03,0
2013-11-10,0
2013-11-17,0
2013-11-24,29
2013-12-01,24
2013-12-08,9
2013-12-15,15
2013-12-22,35
2013-12-29,10
