Categoria: Todas as categorias

Semana,influenza: (Viena)
2017-01-01,100
2017-01-08,80
2017-01-15,82
2017-01-22,80
2017-01-29,60
2017-02-05,68
2017-02-12,60
2017-02-19,18
2017-02-26,23
2017-03-05,28
2017-03-12,20
2017-03-19,10
2017-03-26,24
2017-04-02,10
2017-04-09,13
2017-04-16,22
2017-04-23,15
2017-04-30,16
2017-05-07,16
2017-05-14,11
2017-05-21,20
2017-05-28,13
2017-06-04,17
2017-06-11,22
2017-06-18,14
2017-06-25,8
2017-07-02,9
2017-07-09,9
2017-07-16,13
2017-07-23,22
2017-07-30,9
2017-08-06,17
2017-08-13,18
2017-08-20,9
2017-08-27,12
2017-09-03,13
2017-09-10,11
2017-09-17,12
2017-09-24,13
2017-10-01,28
2017-10-08,23
2017-10-15,21
2017-10-22,11
2017-10-29,16
2017-11-05,24
2017-11-12,30
2017-11-19,34
2017-11-26,37
2017-12-03,23
2017-12-10,27
2017-12-17,33
2017-12-24,47
2017-12-31,81
