Categoria: Todas as categorias

Semana,influenza: (Viena)
2015-01-04,15
2015-01-11,14
2015-01-18,35
2015-01-25,71
2015-02-01,78
2015-02-08,84
2015-02-15,93
2015-02-22,100
2015-03-01,96
2015-03-08,64
2015-03-15,50
2015-03-22,38
2015-03-29,27
2015-04-05,35
2015-04-12,18
2015-04-19,11
2015-04-26,15
2015-05-03,7
2015-05-10,15
2015-05-17,17
2015-05-24,15
2015-05-31,8
2015-06-07,7
2015-06-14,14
2015-06-21,15
2015-06-28,0
2015-07-05,0
2015-07-12,16
2015-07-19,8
2015-07-26,0
2015-08-02,8
2015-08-09,8
2015-08-16,7
2015-08-23,15
2015-08-30,7
2015-09-06,18
2015-09-13,0
2015-09-20,7
2015-09-27,10
2015-10-04,13
2015-10-11,16
2015-10-18,14
2015-10-25,32
2015-11-01,31
2015-11-08,10
2015-11-15,27
2015-11-22,20
2015-11-29,17
2015-12-06,10
2015-12-13,7
2015-12-20,29
2015-12-27,34
