Categoria: Todas as categorias

Semana,influenza: (Viena)
2018-01-07,75
2018-01-14,96
2018-01-21,59
2018-01-28,100
2018-02-04,92
2018-02-11,94
2018-02-18,94
2018-02-25,60
2018-03-04,79
2018-03-11,77
2018-03-18,55
2018-03-25,14
2018-04-01,29
2018-04-08,13
2018-04-15,18
2018-04-22,10
2018-04-29,14
2018-05-06,6
2018-05-13,8
2018-05-20,5
2018-05-27,0
2018-06-03,11
2018-06-10,8
2018-06-17,10
2018-06-24,8
2018-07-01,6
2018-07-08,11
2018-07-15,9
2018-07-22,6
2018-07-29,6
2018-08-05,12
2018-08-12,0
2018-08-19,9
2018-08-26,11
2018-09-02,5
2018-09-09,0
2018-09-16,16
2018-09-23,8
2018-09-30,10
2018-10-07,15
2018-10-14,15
2018-10-21,28
2018-10-28,13
2018-11-04,10
2018-11-11,27
2018-11-18,30
2018-11-25,14
2018-12-02,17
2018-12-09,19
2018-12-16,18
2018-12-23,12
2018-12-30,9
