Id,Label,timeset,pageranks,eigencentrality
2153973773,,,0.000021,0
332886707,,,0.000021,0.008598
52533134,,,0.000021,0.008598
110777423,,,0.000021,0.008598
1393317876,,,0.000021,0.008598
748664536987623424,,,0.000021,0.008598
2743889489,,,0.000021,0.008598
40291895,,,0.000021,0.03052
974384725413343232,,,0.000021,0.008598
231727866,,,0.000021,0.008598
1157143153,,,0.000021,0.008598
237750594,,,0.000021,0.008598
1092088731568406528,,,0.000021,0.008598
13559872,,,0.000021,0.008598
1317923678,,,0.000021,0.008598
1025804014603128832,,,0.000021,0.008598
450719700,,,0.000021,0.008598
1975036178,,,0.000021,0.008598
1013272806627389440,,,0.000021,0.008598
15478161,,,0.000021,0.008598
2891881473,,,0.000021,0.008598
592302087,,,0.000021,0.008598
781865330,,,0.000021,0.008598
588324047,,,0.000021,0.008598
881541526463160320,,,0.000021,0.008598
851963669546184704,,,0.000021,0.008598
718395698903965696,,,0.000021,0.008598
782468836138168320,,,0.000021,0.008598
444034691,,,0.000021,0.008598
935417712381186048,,,0.000021,0.008598
943088829162049536,,,0.000021,0.008598
948955926664503296,,,0.000021,0.008598
969707629688668160,,,0.000021,0.008598
930558600,,,0.000021,0.008598
944623927741083648,,,0.000021,0.008598
20156031,,,0.000021,0.008598
1269410540,,,0.000021,0.008598
2895928114,,,0.000021,0.008598
1048553106,,,0.000021,0.008598
4742221069,,,0.000021,0.008598
3030583173,,,0.000021,0.008598
4864582899,,,0.000021,0.008598
4132494605,,,0.000021,0.008598
952670315695386624,,,0.000021,0.008598
4098319335,,,0.000021,0.008598
893193753107869696,,,0.000021,0.008598
302871015,,,0.000021,0.008598
884062262503276544,,,0.000021,0.008598
3257831360,,,0.000021,0.008598
803359060863160320,,,0.000021,0.008598
2282242555,,,0.000021,0.008598
2885409214,,,0.000021,0.008598
472078958,,,0.000021,0.008598
170972044,,,0.000021,0.008598
4144896743,,,0.000021,0.008598
93972122,,,0.000021,0.008598
1216256832,,,0.000021,0.008598
750318508039299072,,,0.000021,0.008598
820326874048065536,,,0.000021,0.008598
1262794464,,,0.000021,0.008598
866588378015334400,,,0.000021,0.008598
4513142352,,,0.000021,0.008598
866948421952970752,,,0.000021,0.008598
258834617,,,0.000021,0.008598
730654987198582784,,,0.000021,0.008598
2176386762,,,0.000021,0.008598
3307571140,,,0.000021,0.008598
905835758375882752,,,0.000021,0.008598
919826258766295040,,,0.000021,0.008598
76711886,,,0.000021,0.008598
775709739569209344,,,0.000021,0.008598
2920033789,,,0.000021,0.008598
984069723523571712,,,0.000021,0.008598
2743598573,,,0.000021,0.008598
969877826211065856,,,0.000021,0.008598
911688188015579136,,,0.000021,0.008598
887233082830462976,,,0.000021,0.008598
120265046,,,0.000021,0.008598
538596534,,,0.000021,0.008598
626258590,,,0.000021,0.008598
871008041377968128,,,0.000021,0.008598
923155187459657728,,,0.000021,0.008598
964136055283822592,,,0.000021,0.008598
863280091,,,0.000021,0.008598
882574000064430080,,,0.000021,0.008598
2512225558,,,0.000021,0.008598
494712807,,,0.000021,0.008598
2444038346,,,0.000021,0.008598
1711451773,,,0.000021,0.008598
360575944,,,0.000021,0.008598
222559215,,,0.000021,0.008598
768090258659565568,,,0.000021,0.008598
4553223139,,,0.000021,0.008598
3383909571,,,0.000021,0.008598
71431729,,,0.000021,0.008598
844552612145979392,,,0.000021,0.008598
3131197642,,,0.000021,0.008598
823781643169202176,,,0.000021,0.008598
